"","书名","作者","价格","评分"
"96","罪与罚","[俄] 陀思妥耶夫斯基 "," 23.00元","9.3"
"97","棋王·树王·孩子王","阿城 "," 58.00","9.3"
"98","离开的，留下的","[意] 埃莱娜·费兰特 "," 62.00元","8.9"
"99","也许你该找个人聊聊","[美]洛莉·戈特利布 "," 68.00元","9.0"
"100","爱你就像爱生命","王小波 "," 18.00元","8.8"
"101","毛泽东选集 第一卷","毛泽东 "," 40.00元","9.6"
"102","失明症漫记","[葡] 若泽·萨拉马戈 "," 29.50","9.1"
"103","我们仨","杨绛 "," 23.00元","9.1"
"104","叫魂","[美] 孔飞力 "," 38.00元","9.1"
"105","人生的智慧","(德)叔本华 "," 28.00元","9.2"
"106","人生的枷锁","[英] 毛姆 "," 32.00元","9.1"
"107","巨人的陨落","[英] 肯·福莱特 "," CNY 129.80","8.9"
"108","教父","[美]马里奥·普佐 "," 23.30元","9.0"
"109","看不见的城市","[意] 伊塔洛·卡尔维诺 "," 25.00元","9.0"
"110","海子的诗","海子 "," 15.40","9.0"
"111","飞鸟集","[印] 罗宾德拉纳德·泰戈尔 "," 16.80元","8.9"
"112","受戒","汪曾祺 "," 3.95元","9.4"
"113","桶川跟踪狂杀人事件","[日] 清水洁 "," 45.00元","9.0"
"114","斯通纳","[美] 约翰·威廉斯 "," 49.00元","8.8"
"115","鹿鼎记","金庸 "," 108.00元","8.9"
"116","太白金星有点烦","马伯庸 "," 45.00","9.0"
"117","少年凯歌","人民文学出版社 "," 10.00元","9.4"
"118","梦里花落知多少","三毛 "," 28.00元","8.8"
"119","陆犯焉识","严歌苓 "," 35.00元","8.9"
"120","克莱因壶","[日] 冈岛二人 "," 48.00元","8.9"
"121","茶馆","老舍 "," 9.80元","9.2"
"122","边城","沈从文 "," 12.00元","8.7"
"123","十万个为什么","少年儿童出版社 "," 30.00元","9.2"
"124","遥远的向日葵地","李娟 "," 38.00元","9.1"
"125","时间简史","[英] 史蒂芬·霍金 "," 45.00元","8.9"
"126","这些人，那些事","吴念真 "," 28.00元","8.8"
"127","金色梦乡","[日] 伊坂幸太郎 "," 35.00元","9.0"
"128","王尔德童话","[英] 王尔德 "," 6.00元","9.1"
"129","人间草木","汪曾祺 "," 20.00元","9.2"
"130","面纱","[英] 威廉·萨默塞特·毛姆 "," 39.8元","9.1"
"131","小径分岔的花园","[阿根廷] 豪·路·博尔赫斯 "," 23.00","8.9"
"132","昨日的世界","[奥] 斯蒂芬·茨威格 "," 32.00元","9.2"
"133","你当像鸟飞往你的山","塔拉·韦斯特弗 "," 59.00元","8.7"
"134","13 67","陳浩基 "," NT$350","9.1"
"135","绿毛水怪","王小波 "," 30.00元","9.1"
"136","故事","[美] 罗伯特·麦基 "," 68.00元","9.2"
"137","经济学原理（上下）","[美] 曼昆 "," 88.00元","9.1"
"138","海的女儿","安徒生 "," 0.43","9.1"
"139","國史大綱（上下）","錢穆 "," 76.00元","9.4"
"140","长日将尽","[英] 石黑一雄 "," 48","8.9"
"141","一间只属于自己的房间","[英] 弗吉尼亚·伍尔夫 "," 45.00元","9.2"
"142","我的天才女友","[意] 埃莱娜·费兰特 "," 42.00元","8.7"
"143","西线无战事","[德] 埃里希·玛丽亚·雷马克 "," 49","9.5"
"144","鹿川有许多粪","李沧东 "," 58.00元","8.9"
"145","一句顶一万句","刘震云 "," 29.80","8.8"
"146","阿勒泰的角落","李娟 "," 25.00元","9.1"
"147","全球通史(上)","[美]斯塔夫里阿诺斯 "," 42.00","9.2"
"148","一个陌生女人的来信","[奥] 斯蒂芬·茨威格 "," 20.00元","8.7"
"149","万水千山走遍","三毛 "," 13.80","8.9"
"150","苏菲的世界","[挪] 乔斯坦·贾德 "," 26.00元","8.8"
"151","温柔的夜","三毛 "," 28.00元","9.1"
"152","德米安","[德] 赫尔曼·黑塞 "," 25.00元","8.9"
"153","爱的艺术","[美] 艾·弗洛姆 "," 15.00元","8.8"
"154","强风吹拂","三浦紫苑 "," 39.00元","9.0"
"155","史蒂夫·乔布斯传","[美] 沃尔特·艾萨克森 "," 68.00元","8.7"
"156","筚路维艰","萧冬连 "," 45.00元","9.5"
"157","2001：太空漫游","[英] 阿瑟·克拉克 "," 62.00元","9.3"
"158","霸王别姬","李碧华 "," 10.20元","9.1"
"159","安娜·卡列尼娜","[俄] 列夫·托尔斯泰 "," 37.00元","9.2"
"160","古文观止","吴楚材 "," 21.00元","9.1"
"161","我不知道该说什么，关于死亡还是爱情","[白俄] S·A·阿列克谢耶维奇 "," 34.80元","9.1"
"162","亮剑","都梁 "," 28.00元","9.0"
"163","球状闪电","刘慈欣 "," 22.00元","8.7"
"164","我的阿勒泰","李娟 "," 22.00元","8.9"
"165","不能承受的生命之轻","米兰·昆德拉 "," 29.00元","8.8"
"166","恶意","[日] 东野圭吾 "," 39.50元","8.7"
"167","平面国","埃德温·A·艾勃特 "," 39.80元","9.2"
"168","草房子","曹文轩 "," 18.00元","9.0"
"169","流俗地","【马来西亚】黎紫书 "," 55","9.2"
"170","社会心理学","[美] 戴维·迈尔斯 "," 68.00元","9.0"
"171","地下室手记","(俄罗斯) 陀思妥耶夫斯基 "," 39.8","9.3"
"172","南京大屠杀","[美]张纯如（Iris Chang） "," 49.00元","9.7"
"173","半生缘","张爱玲 "," 29.60元","9.1"
"174","冰与火之歌","[美]乔治·R.R.马丁 "," 330.00元","9.5"
"175","我也有一个梦想","林达 "," 25.00元","9.0"
"176","麦琪的礼物","[美] 欧·亨利 "," 25.00元","8.7"
"177","激荡三十年（上）","吴晓波 "," 35.00","8.8"
"178","额尔古纳河右岸","迟子建 "," 29.00元","9.0"
"179","海风中失落的血色馈赠","[加拿大] 阿利斯泰尔·麦克劳德 "," CNY 20.00","9.0"
"180","倾城之恋","张爱玲 "," 29.80元","8.7"
"181","檀香刑","莫言 "," 56.00元","9.3"
